codigo,descricao,salario_medio_atual,modelo_vencedor,score,previsao_5,previsao_10,previsao_15,previsao_20,tendencia_salarial,tendencia_mercado
10105,Oficial General da Aeronautica,1726.94,Fallback,0.6634,16400.84,16776.18,13662.31,19334.21,Crescente,CRESCIMENTO LEVE
10110,Oficial General do Exercito,1760.14,ARIMA,1.1813,15964.32,8540.2,9156.32,17923.33,Oscilante,CRESCIMENTO FORTE
10115,Oficial General da Marinha,1626.11,XGBoost,0.8703,9881.22,2525.2,7614.08,19216.08,Oscilante,CRESCIMENTO FORTE
10205,Oficial da Aeronautica,1967.38,Fallback,0.7111,14776.81,2663.05,18547.59,4305.32,Crescente,CRESCIMENTO FORTE
10210,Oficial do Exercito,1913.48,ARIMA,1.1854,15588.93,11634.09,15610.08,12427.21,Decrescente,CRESCIMENTO LEVE
10215,Oficial da Marinha,2000.7,XGBoost,0.6792,16093.17,15861.4,18867.26,7347.59,Oscilante,MERCADO ESTÁVEL
10305,Praca da Aeronautica,1882.63,Fallback,0.6586,6467.59,6346.21,12897.0,6736.35,Crescente,RETRAÇÃO LEVE
10310,Praca do Exercito,1644.47,ARIMA,0.9641,20441.32,13968.38,10479.64,11459.72,Crescente,MERCADO INCERTO
10315,Praca da Marinha,1927.08,Holt-Winters,1.1836,16223.3,11040.98,11710.0,8869.34,Crescente,CRESCIMENTO FORTE
20105,Coronel da Policia Militar,1625.71,Fallback,0.5619,11841.96,10721.74,7221.81,15463.39,Oscilante,CRESCIMENTO FORTE
20110,Tenente-Coronel da Policia Militar,2018.08,XGBoost,0.8246,5526.28,10177.26,1871.25,6318.54,Oscilante,CRESCIMENTO LEVE
20115,Major da Policia Militar,1852.25,Fallback,0.7761,19719.15,16392.49,5462.25,9232.67,Decrescente,CRESCIMENTO FORTE
20205,Capitao da Policia Militar,2071.61,ARIMA,0.7327,7489.59,9921.22,14650.68,10099.99,Decrescente,MERCADO INCERTO
20305,Primeiro Tenente de Policia Militar,1848.99,Holt-Winters,1.087,15264.62,9064.91,15857.51,2841.48,Crescente,CRESCIMENTO LEVE
